Model,DPO2002B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.4,,,
Sample Interval,0.000768049,,,
Filter Frequency,7e+07,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.2,,0.1,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-2.0000e+00,0.744,0.728,-0.198,-0.222
-1.9992e+00,0.736,0.752,-0.198,-0.178
-1.9985e+00,0.736,0.728,-0.206,-0.226
-1.9977e+00,0.744,0.752,-0.206,-0.178
-1.9969e+00,0.744,0.728,-0.202,-0.222
-1.9962e+00,0.736,0.752,-0.206,-0.178
-1.9954e+00,0.736,0.728,-0.194,-0.222
-1.9946e+00,0.736,0.752,-0.202,-0.178
-1.9939e+00,0.736,0.728,-0.206,-0.222
-1.9931e+00,0.736,0.744,-0.202,-0.178
-1.9923e+00,0.736,0.728,-0.202,-0.222
-1.9916e+00,0.736,0.744,-0.202,-0.174
-1.9908e+00,0.736,0.728,-0.206,-0.218
-1.9900e+00,0.736,0.744,-0.198,-0.178
-1.9892e+00,0.736,0.728,-0.194,-0.218
-1.9885e+00,0.736,0.744,-0.202,-0.178
-1.9877e+00,0.736,0.72,-0.198,-0.218
-1.9869e+00,0.736,0.744,-0.202,-0.174
-1.9862e+00,0.736,0.72,-0.202,-0.218
-1.9854e+00,0.736,0.744,-0.194,-0.174
-1.9846e+00,0.728,0.72,-0.202,-0.218
-1.9839e+00,0.728,0.744,-0.198,-0.174
-1.9831e+00,0.736,0.72,-0.194,-0.218
-1.9823e+00,0.728,0.736,-0.194,-0.174
-1.9816e+00,0.728,0.72,-0.198,-0.218
-1.9808e+00,0.728,0.736,-0.194,-0.17
-1.9800e+00,0.728,0.72,-0.186,-0.218
-1.9793e+00,0.728,0.736,-0.202,-0.17
-1.9785e+00,0.728,0.72,-0.202,-0.214
-1.9777e+00,0.728,0.736,-0.194,-0.17
-1.9770e+00,0.728,0.712,-0.198,-0.214
-1.9762e+00,0.728,0.736,-0.194,-0.17
-1.9754e+00,0.72,0.712,-0.19,-0.214
-1.9747e+00,0.72,0.736,-0.194,-0.17
-1.9739e+00,0.72,0.712,-0.198,-0.214
-1.9731e+00,0.72,0.728,-0.194,-0.17
-1.9724e+00,0.72,0.712,-0.194,-0.21
-1.9716e+00,0.72,0.728,-0.182,-0.166
-1.9708e+00,0.72,0.704,-0.19,-0.21
-1.9700e+00,0.712,0.728,-0.194,-0.166
-1.9693e+00,0.72,0.704,-0.194,-0.21
-1.9685e+00,0.712,0.72,-0.186,-0.166
-1.9677e+00,0.712,0.704,-0.182,-0.21
-1.9670e+00,0.712,0.72,-0.198,-0.162
-1.9662e+00,0.704,0.696,-0.182,-0.206
-1.9654e+00,0.712,0.72,-0.182,-0.162
-1.9647e+00,0.704,0.696,-0.198,-0.206
-1.9639e+00,0.704,0.72,-0.182,-0.162
-1.9631e+00,0.704,0.696,-0.174,-0.206
-1.9624e+00,0.704,0.712,-0.19,-0.162
-1.9616e+00,0.704,0.688,-0.182,-0.206
-1.9608e+00,0.704,0.712,-0.178,-0.162
-1.9601e+00,0.704,0.688,-0.194,-0.206
-1.9593e+00,0.696,0.712,-0.182,-0.158
-1.9585e+00,0.696,0.688,-0.178,-0.202
-1.9578e+00,0.696,0.704,-0.178,-0.158
-1.9570e+00,0.696,0.68,-0.178,-0.202
-1.9562e+00,0.696,0.704,-0.174,-0.158
-1.9555e+00,0.688,0.68,-0.178,-0.202
-1.9547e+00,0.688,0.696,-0.186,-0.154
-1.9539e+00,0.688,0.68,-0.178,-0.198
-1.9531e+00,0.688,0.696,-0.178,-0.154
-1.9524e+00,0.68,0.672,-0.178,-0.198
-1.9516e+00,0.68,0.696,-0.174,-0.154
-1.9508e+00,0.68,0.672,-0.178,-0.194
-1.9501e+00,0.68,0.688,-0.174,-0.15
-1.9493e+00,0.672,0.664,-0.174,-0.194
-1.9485e+00,0.68,0.688,-0.178,-0.15
-1.9478e+00,0.672,0.664,-0.182,-0.194
-1.9470e+00,0.672,0.688,-0.17,-0.15
-1.9462e+00,0.672,0.656,-0.174,-0.194
-1.9455e+00,0.672,0.68,-0.174,-0.15
-1.9447e+00,0.664,0.656,-0.174,-0.19
-1.9439e+00,0.664,0.672,-0.166,-0.146
-1.9432e+00,0.664,0.648,-0.166,-0.19
-1.9424e+00,0.664,0.672,-0.174,-0.146
-1.9416e+00,0.656,0.648,-0.17,-0.186
-1.9409e+00,0.656,0.664,-0.17,-0.146
-1.9401e+00,0.656,0.64,-0.166,-0.186
-1.9393e+00,0.648,0.664,-0.166,-0.142
-1.9386e+00,0.648,0.64,-0.17,-0.186
-1.9378e+00,0.648,0.656,-0.17,-0.142
-1.9370e+00,0.648,0.632,-0.158,-0.182
-1.9363e+00,0.648,0.656,-0.162,-0.138
-1.9355e+00,0.64,0.632,-0.174,-0.186
-1.9347e+00,0.64,0.648,-0.162,-0.138
-1.9339e+00,0.632,0.624,-0.17,-0.182
-1.9332e+00,0.64,0.648,-0.166,-0.138
-1.9324e+00,0.632,0.624,-0.158,-0.182
-1.9316e+00,0.632,0.64,-0.17,-0.138
-1.9309e+00,0.624,0.616,-0.166,-0.182
-1.9301e+00,0.624,0.64,-0.158,-0.134
-1.9293e+00,0.624,0.608,-0.154,-0.178
-1.9286e+00,0.624,0.632,-0.162,-0.134
-1.9278e+00,0.616,0.608,-0.158,-0.178
-1.9270e+00,0.616,0.624,-0.154,-0.13
-1.9263e+00,0.608,0.6,-0.158,-0.174
-1.9255e+00,0.608,0.624,-0.158,-0.13
-1.9247e+00,0.608,0.6,-0.154,-0.174
-1.9240e+00,0.608,0.616,-0.154,-0.13
-1.9232e+00,0.608,0.592,-0.158,-0.17
-1.9224e+00,0.6,0.616,-0.146,-0.126
-1.9217e+00,0.6,0.584,-0.154,-0.17
-1.9209e+00,0.6,0.608,-0.15,-0.126
-1.9201e+00,0.6,0.584,-0.146,-0.17
-1.9194e+00,0.592,0.608,-0.15,-0.126
-1.9186e+00,0.592,0.576,-0.15,-0.17
-1.9178e+00,0.592,0.6,-0.142,-0.122
-1.9171e+00,0.584,0.568,-0.146,-0.166
-1.9163e+00,0.584,0.592,-0.142,-0.122
-1.9155e+00,0.576,0.568,-0.15,-0.162
-1.9147e+00,0.576,0.592,-0.142,-0.118
-1.9140e+00,0.576,0.56,-0.142,-0.162
